Ref,Val,Package,PosX,PosY,Rot,Side
"R71","10","R_0603_1608Metric",122.836399,-92.615599,90.000000,top
"R72","10","R_0603_1608Metric",121.058399,-92.615599,90.000000,top
"R73","2R2","R_0603_1608Metric",150.723301,-105.154001,90.000000,top
"R74","10","R_0603_1608Metric",135.750001,-93.279501,0.000000,top
"R75","10","R_0603_1608Metric",138.353501,-92.835001,270.000000,top
"R76","10","R_0603_1608Metric",140.004501,-92.835001,270.000000,top
"R77","10","R_0603_1608Metric",135.750001,-91.692001,0.000000,top
"R78","47","R_0603_1608Metric",146.875201,-89.279001,270.000000,top
"R79","47","R_0603_1608Metric",141.338001,-89.342501,270.000000,top
"R80","47","R_0603_1608Metric",133.527501,-89.342501,270.000000,top
"R81","47","R_0603_1608Metric",139.369501,-89.342501,270.000000,top
"R82","0R05","R_2512_6332Metric",143.966901,-85.723001,0.000000,top
"R83","0R05","R_2512_6332Metric",136.347200,-85.712300,180.000000,top
"R84","10","R_0603_1608Metric",143.433501,-92.835001,90.000000,top
"R85","10","R_0603_1608Metric",141.782501,-92.835001,90.000000,top
"R86","10","R_0603_1608Metric",147.002201,-92.835001,90.000000,top
"R87","10","R_0603_1608Metric",145.224201,-92.835001,90.000000,top
"R88","2R2","R_0603_1608Metric",80.111301,-113.226001,270.000000,top
"R89","10","R_0603_1608Metric",95.084601,-125.100501,180.000000,top
"R90","10","R_0603_1608Metric",92.481101,-125.545001,90.000000,top
"R91","10","R_0603_1608Metric",90.830101,-125.545001,90.000000,top
"R92","10","R_0603_1608Metric",95.084601,-126.688001,180.000000,top
"R93","47","R_0603_1608Metric",83.959401,-129.482001,90.000000,top
"R94","47","R_0603_1608Metric",89.496601,-129.418501,90.000000,top
"R95","47","R_0603_1608Metric",97.307101,-129.418501,90.000000,top
"R96","47","R_0603_1608Metric",91.465101,-129.418501,90.000000,top
"R97","0R05","R_2512_6332Metric",86.994701,-132.911001,180.000000,top
"R98","0R05","R_2512_6332Metric",94.868701,-132.911001,0.000000,top
"R99","10","R_0603_1608Metric",87.401101,-125.545001,270.000000,top
"R100","10","R_0603_1608Metric",89.052101,-125.545001,270.000000,top
"R101","10","R_0603_1608Metric",83.832401,-125.545001,270.000000,top
"R102","10","R_0603_1608Metric",85.610401,-125.545001,270.000000,top
"R103","2R2","R_0603_1608Metric",105.435400,-113.030000,270.000000,top
"R104","10","R_0603_1608Metric",120.408700,-124.904500,180.000000,top
"R105","10","R_0603_1608Metric",117.805200,-125.349000,90.000000,top
"R106","10","R_0603_1608Metric",116.154200,-125.349000,90.000000,top
"R107","10","R_0603_1608Metric",120.408700,-126.492000,180.000000,top
"R108","47","R_0603_1608Metric",109.283500,-129.286000,90.000000,top
"R109","47","R_0603_1608Metric",114.820700,-129.222500,90.000000,top
"R110","47","R_0603_1608Metric",122.631200,-129.222500,90.000000,top
"R111","47","R_0603_1608Metric",116.789200,-129.222500,90.000000,top
"R112","0R05","R_2512_6332Metric",112.318800,-132.715000,180.000000,top
"R113","0R05","R_2512_6332Metric",120.015000,-132.702300,0.000000,top
"R114","10","R_0603_1608Metric",112.725200,-125.349000,270.000000,top
"R115","10","R_0603_1608Metric",114.376200,-125.349000,270.000000,top
"R116","10","R_0603_1608Metric",109.156500,-125.349000,270.000000,top
"R117","10","R_0603_1608Metric",110.934500,-125.349000,270.000000,top
"R118","2R2","R_0603_1608Metric",129.527300,-112.928400,270.000000,top
"R119","10","R_0603_1608Metric",144.500600,-124.802900,180.000000,top
"R120","10","R_0603_1608Metric",141.897100,-125.247400,90.000000,top
"R121","10","R_0603_1608Metric",140.246100,-125.247400,90.000000,top
"R122","10","R_0603_1608Metric",144.500600,-126.390400,180.000000,top
"R123","47","R_0603_1608Metric",133.756400,-129.171700,90.000000,top
"R124","47","R_0603_1608Metric",138.912600,-129.120900,90.000000,top
"R125","47","R_0603_1608Metric",146.723100,-129.120900,90.000000,top
"R126","47","R_0603_1608Metric",140.881100,-129.120900,90.000000,top
"R127","0R05","R_2512_6332Metric",136.728200,-132.600700,180.000000,top
"R128","0R05","R_2512_6332Metric",144.284700,-132.613400,0.000000,top
"R129","10","R_0603_1608Metric",136.817100,-125.247400,270.000000,top
"R130","10","R_0603_1608Metric",138.468100,-125.247400,270.000000,top
"R131","10","R_0603_1608Metric",133.629400,-125.247400,270.000000,top
"R132","10","R_0603_1608Metric",135.026400,-125.247400,270.000000,top
"R133","1k","R_0603_1608Metric",52.552600,-98.666300,0.000000,top
"SW1","SW_DIP_x01","SW_SPST_TL3342",71.653400,-98.691700,0.000000,top
"U1","ST1480ACDR","SOIC-8_3.9x4.9mm_P1.27mm",60.286900,-98.374200,270.000000,top
"U2","M24C32","SOIC-8_3.9x4.9mm_P1.27mm",55.016400,-113.233200,90.000000,top
"U6","TVS_ARRAY4","SOT-363_SC-70-6",57.658000,-82.232500,180.000000,top
"U7","TVS_ARRAY4","SOT-363_SC-70-6",70.612000,-82.232500,180.000000,top
"U8","TVS_ARRAY4","SOT-363_SC-70-6",74.422000,-82.232500,180.000000,top
"U9","RT7272","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",163.880800,-120.484900,180.000000,top
"U10","TVS_ARRAY4","SOT-363_SC-70-6",59.410600,-141.478000,0.000000,top
"U11","TVS_ARRAY4","SOT-363_SC-70-6",53.340000,-95.681800,0.000000,top
"U12","STM32F103VBTx","LQFP-100_14x14mm_P0.5mm",69.481700,-115.519200,270.000000,top
"U13","MIC5504-3.3YM5","SOT-23-5",151.384000,-114.998500,0.000000,top
"Y1","8MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",70.586600,-103.746300,0.000000,top
