Ref,Val,Package,PosX,PosY,Rot,Side
"IC5","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",113.372900,-118.046500,180.000000,top
"IC6","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",137.464800,-117.944900,180.000000,top
"J2","Raspberry_pi_40pin","PinSocket_2x20_P2.54mm_Vertical_SMD",45.720000,-119.062500,180.000000,top
"J26","USB_B_Micro","USB_Micro-B_Molex-105017-0001",78.181200,-70.167500,180.000000,top
"L1","1u","L_1210_3225Metric",162.052000,-132.524500,90.000000,top
"L2","15u","L_Taiyo-Yuden_NR-80xx",172.034200,-125.641100,270.000000,top
"Q1","2N7002","SOT-23",154.940000,-107.378500,0.000000,top
"Q2","2N7002","SOT-23",154.940000,-100.266500,0.000000,top
"Q3","IPD048N06L3G","TO-252-2",172.669200,-74.460100,0.000000,top
"Q4","FDMC8030","Fairchild_DualPower33-6_3x3mm",160.274000,-84.264500,0.000000,top
